exam,q_no,scope,topic,question,options,source_key_raw,source_answer,study_answer,status,editor_note
56-59th BPSC (2015),19,extended,"Ecology, Environment & Conservation",Sultanpur Bird Sanctuary is located at,Chandigarh | Bharatpur | Gurgaon | Gandhinagar,C,Gurgaon,Gurgaon,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),20,extended,"Ecology, Environment & Conservation",The forest area in India per person (in average hectare) is,0.23 | 0.34 | 0.2 | 0.29,C,0.2,0.2,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),41,core,"Microbes, Disease & Immunity",Typhoid and Cholera are typical examples of,Infectious diseases | Airborne diseases | Waterborne diseases | None of these,C,Waterborne diseases,Waterborne diseases,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),42,core,Nutrition & Biomolecules,Energy is stored in liver and muscles in the form of:,Carbohydrate | Fat | Protein | Glycogen,D,Glycogen,Glycogen,restored,Question text restored from the repository's curated biology bank; the XLSX row has missing text.
56-59th BPSC (2015),43,core,"Microbes, Disease & Immunity",Who discovered bacteria?,Fleming | Lamble | Temin | Leeuwenhoek,D,Leeuwenhoek,Leeuwenhoek,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),44,core,"Genetics, DNA & Biotechnology",The reason for large-scale diversity among the organisms is,adaptation | Cooperation | Mutation | Polyploidy,A,adaptation,Adaptation (exam-key answer),key-sensitive,"Adaptation is the expected BPSC answer; mutation/recombination generate heritable variation, on which selection acts."
56-59th BPSC (2015),45,core,Animal Diversity & Applied Biology,What is vermiculture?,The science of raising worms | The science of studying animals | The science of studying fishes | The science of killing worms,A,The science of raising worms,The science of raising worms,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),47,core,"Plant Form, Function & Classification",A plant bud is,An embryonic shoot | An embryonic leaf | An endosperm | A seed,A,An embryonic shoot,An embryonic shoot,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),48,core,Excretion & Osmoregulation,The average blood flow through kidneys per minute is,1000 cc | 1200 cc | 200 cc | 500 cc,B,1200 cc,1200 cc,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),49,core,"Circulation, Blood & Immunity",The first human heart transplant was performed in,America | England | South Africa | France,C,South Africa,South Africa,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),50,core,Cell Biology,"The smallest organism, capable of autonomous growth and reproduction, is …",Virus | Bacteria | Mycoplasma | [Missing in source],C,Mycoplasma,Mycoplasma,source-key,Answer follows the verified/source answer field in the supplied workbook.
