exam,q_no,scope,topic,recent,question,options,source_key_raw,source_answer,study_answer,status,editor_note
56-59th BPSC (2015),138,core,U16 Modern & Nuclear Physics,no,What was the fissionable material used in the bombs dropped at Nagasaki (Japan) in the year 1945?,Sodium | Potassium | Plutonium | Uranium,C,Plutonium,Plutonium,source-key,Answer follows the verified answer field of the supplied workbook.
56-59th BPSC (2015),139,core,U11 Circular Motion & Gravitation,no,The scientist who first discovered that the Earth revolve round the Sun was,Newton | Dalton | Copernicus | Einstein,C,Copernicus,Copernicus,source-key,Answer follows the verified answer field of the supplied workbook.
56-59th BPSC (2015),140,core,U16 Modern & Nuclear Physics,no,Cosmic rays,are charged particles | are uncharged particles | can be charged as well as uncharged | None of the above,C,can be charged as well as uncharged,can be charged as well as uncharged,source-key,Answer follows the verified answer field of the supplied workbook.
56-59th BPSC (2015),142,extended,U16 Modern & Nuclear Physics,no,Which of the following can cause cancer as well as cure it depending upon its intensity and use?,Tobacco | Alcohol | lonised radiation | Ultraviolet rays,C,lonised radiation,lonised radiation,source-key,Answer follows the verified answer field of the supplied workbook.
60-62nd BPSC (Combined),49,core,U16 Modern & Nuclear Physics,no,God Particle' is,Neutrino | Higgs Boson | Meson | Positron | None of the above/More than one of the above,(b),Higgs Boson,Higgs Boson,source-key,Answer follows the verified answer field of the supplied workbook.
60-62nd BPSC (Combined),50,extended,U16 Modern & Nuclear Physics,no,Which of the following radio isotopes is used in the treatment of blood cancer [leukemia]?,Iodine -131 | Sodium-24 | Phosphorus-32 | Cobalt-60 | None of the above/More than one of the above,(d),Cobalt-60,Phosphorus-32,editor-corrected,Workbook key says (d) Cobalt-60. P-32 (β-emitter) is the isotope used in leukaemia/polycythaemia therapy; Co-60 is an external γ source. Study answer follows the standard reference.
60-62nd BPSC (Combined),71,extended,U16 Modern & Nuclear Physics,no,India's first Laser Interferometer Gravitational-Wave Observatory (LIGO) laboratory will be setup in which State ?,Uttar Pradesh | Maharashtra | Andhra Pradesh | Bihar | None of the above/More than one of the above,(b),Maharashtra,Maharashtra,source-key,Answer follows the verified answer field of the supplied workbook.
63rd BPSC,85,core,"U2 Light I: Nature of Light, Reflection & Mirrors",no,The wavelength of visible spectrum is in the range,1300 Å-3900 Å | 3900 Å-7600 Å | 7800 Å-8200 Å | 8500 Å-9800 Å | None of the above/More than one of the above,(B),3900 Å-7600 Å,3900 Å-7600 Å,source-key,Answer follows the verified answer field of the supplied workbook.
63rd BPSC,89,extended,U16 Modern & Nuclear Physics,no,The positively charged part at the centre of an atom is called as,proton | neutron | electron | nucleus | None of the above/More than one of the above,(D),nucleus,nucleus,source-key,Answer follows the verified answer field of the supplied workbook.
63rd BPSC,90,core,"U7 Heat, Temperature & Thermometry",no,The conversion of a solid directly into gas is called as,sublimation | condensation | evaporation | boiling | None of the above/More than one of the above,(A),sublimation,sublimation,source-key,Answer follows the verified answer field of the supplied workbook.
