qid,year,subject,auto_tier,auto_best,expert_tier,expert_link,link_src,advantage,transform,weight,text_snippet
2015_P_1,2015,Economy,0,,0,,expert,none,spurious,3.86,'Pradhan Mantri Jan-Dhan Yojana' has been launched for
2015_P_10,2015,Science & Technology,1,2001_P_33,,2001_P_33,auto,,,0.00,Which of the following statements is/are correct regarding National Innovation Foundation-India (NIF)? 1. NIF is an autonomous body of the Department 
2015_P_100,2015,Economy,4,2010_P_24,2,2010_P_24,expert,conceptual,paraphrase-repeat,1.00,"With reference to the Indian Renewable Energy Development Agency Limited (IREDA), which of the following statements is/are correct? 1. It is a Public "
2015_P_11,2015,Geography,1,2014_P_14,,2014_P_14,auto,,,0.00,What can be the impact of excessive/inappropriate use of nitrogenous fertilizers in agriculture? 1. Proliferation of nitrogen-fixing microorganisms in
2015_P_12,2015,Environment,3,2014_P_78,,2014_P_78,auto,,,0.00,With reference to the International Union for Conservation of Nature and Natural Resources (IUCN) and the Convention on International Trade in Endange
2015_P_13,2015,Economy,3,2000_P_52,,2000_P_52,auto,,,0.00,The Fair and Remunerative Price (FRP) of sugarcane is approved by the
2015_P_14,2015,Geography,0,,,,auto,,,0.00,What explains the eastward flow of the equatorial counter-current?
2015_P_15,2015,Art & Culture,1,2014_P_89,1,2014_P_89,expert,pattern,weak-association,5.40,Consider the following pairs: Place of Pilgrimage Location 1. Srisailam : Nallamala Hills 2. Omkareshwar : Satmala Hills 3. Pushkar : Mahadeo Hills Wh
2015_P_16,2015,History,3,1998_P_64,,1998_P_64,auto,,,0.00,"With reference to Rowlatt Satyagraha, which of the following statements is/are correct? 1. The Rowlatt Act was based on the recommendations of the 'Se"
2015_P_17,2015,Geography,3,2007_P_89,,2007_P_89,auto,,,0.00,"Among the following, which were frequently mentioned in the news for the outbreak of Ebola virus recently?"
2015_P_18,2015,Environment,3,2012_P_84,,2012_P_84,auto,,,0.00,"With reference to 'fly ash' produced by the power plants using coal as fuel, which of the following statements is/are correct? 1. Fly ash can be used "
2015_P_19,2015,Environment,3,2009_P_71,,2009_P_71,auto,,,0.00,"With reference to 'dugong', a mammal found in India, which of the following statements is/are correct? 1. It is a herbivorous marine animal. 2. It is "
2015_P_2,2015,Polity,3,2010_P_75,,2010_P_75,auto,,,0.00,"With reference to the Fourteenth Finance Commission, which of the following statements is/are correct? 1. It has increased the share of States in the "
2015_P_20,2015,Economy,3,1996_P_72,,1996_P_72,auto,,,0.00,Who of the following was/were economic critic/critics of colonialism in India? 1. Dadabhai Naoroji 2. G. Subramania Iyer 3. R. C. Dutt Select the corr
2015_P_21,2015,Economy,1,2011_P_48,,2011_P_48,auto,,,0.00,Which one of the following issues the 'Global Economic Prospects' report periodically?
